GeneID	Symbol	description
100770899	Mpv17l2	MPV17 mitochondrial inner membrane protein like 2
100770901	Slc4a7	solute carrier family 4 member 7
100770902	LOC100770902	selenoprotein K pseudogene
100770903	Kif1bp	KIF1 binding protein
100770904	Tpt1	tumor protein, translationally-controlled 1
100770905	Bsn	bassoon presynaptic cytomatrix protein
100770907	LOC100770907	cytoplasmic polyadenylation element-binding protein 4
100770908	Rspo2	R-spondin 2
100770909	Ptpn21	protein tyrosine phosphatase, non-receptor type 21
100770910	Mettl26	methyltransferase like 26
100770911	Lsmem1	leucine rich single-pass membrane protein 1
100770912	Ranbp1	RAN binding protein 1
100770913	Dennd2a	DENN domain containing 2A
100770914	Recql	RecQ like helicase
100770915	LOC100770915	high mobility group protein B1 pseudogene
100770916	Nccrp1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)
100770917	Fzd1	frizzled class receptor 1
100770918	Limk1	LIM domain kinase 1
100770919	Sqor	sulfide quinone oxidoreductase
100770920	LOC100770920	40S ribosomal protein S28 pseudogene
100770922	LOC100770922	3 beta-hydroxysteroid dehydrogenase type 3
100770923	LOC100770923	olfactory receptor 4C15
100770924	LOC100770924	olfactory receptor 8K3-like
100770925	LOC100770925	peptidyl-prolyl cis-trans isomerase-like 3 pseudogene
100770926	LOC100770926	zinc finger protein 14
100770927	Adap1	ArfGAP with dual PH domains 1
100770928	Hoxc8	homeobox C8
100770929	Arhgef18	Rho/Rac guanine nucleotide exchange factor 18
100770930	LOC100770930	protein BEX3
100770932	Cd177	CD177 molecule
100770934	Ppfia3	PTPRF interacting protein alpha 3
100770935	LOC100770935	prothymosin alpha-like
100770936	Acat1	acetyl-CoA acetyltransferase 1
100770937	R3hdml	R3H domain containing like
100770938	Arr3	arrestin 3
100770939	Dusp11	dual specificity phosphatase 11
100770940	Tbx6	T-box 6
100770941	LOC100770941	transgelin-2 pseudogene
100770943	Acad9	acyl-CoA dehydrogenase family member 9
100770944	Kif24	kinesin family member 24
100770945	LOC100770945	sentrin-specific protease 2 pseudogene
100770946	Tmem165	transmembrane protein 165
100770947	LOC100770947	kinesin-like protein KIF1B
100770948	Trappc9	trafficking protein particle complex 9
100770949	Adam8	ADAM metallopeptidase domain 8
100770950	Gp5	glycoprotein V platelet
100770951	LOC100770951	olfactory receptor 51I2
100770952	Sag	S-antigen visual arrestin
100770953	Tp53bp2	tumor protein p53 binding protein 2
100770954	LOC100770954	A-kinase anchor protein 1, mitochondrial pseudogene
100770955	Emc8	ER membrane protein complex subunit 8
100770956	LOC100770956	vomeronasal type-1 receptor 94-like
100770957	Plcb4	phospholipase C beta 4
100770958	Crocc	ciliary rootlet coiled-coil, rootletin
100770959	LOC100770959	olfactory receptor 4C11
100770961	Armc7	armadillo repeat containing 7
100770962	Oprm1	opioid receptor mu 1
100770963	Prmt8	protein arginine methyltransferase 8
100770964	Scyl1	SCY1 like pseudokinase 1
100770965	Ptges	prostaglandin E synthase
100770967	Echdc3	enoyl-CoA hydratase domain containing 3
100770968	Prc1	protein regulator of cytokinesis 1
100770969	Ier5l	immediate early response 5 like
100770970	Tarbp1	TAR (HIV-1) RNA binding protein 1
100770971	Dus1l	dihydrouridine synthase 1 like
100770972	Mstn	myostatin
100770973	Lemd3	LEM domain containing 3
100770974	LOC100770974	chromosome unknown open reading frame, human C3orf38
100770975	LOC100770975	partitioning defective 3 homolog B
100770976	LOC100770976	Ig heavy chain V-I region V35-like
100770977	Map2k4	mitogen-activated protein kinase kinase 4
100770978	LOC100770978	mitotic checkpoint protein BUB3 pseudogene
100770979	LOC100770979	protein phosphatase 1M
100770980	LOC100770980	serine/arginine-rich splicing factor 3 pseudogene
100770981	Gcsam	germinal center associated signaling and motility
100770984	LOC100770984	protein FAM162A
100770985	Btg4	BTG anti-proliferation factor 4
100770986	LOC100770986	carcinoembryonic antigen-related cell adhesion molecule 5
100770987	LOC100770987	chromatin target of PRMT1 protein-like
100770988	Sec14l1	SEC14 like lipid binding 1
100770989	LOC100770989	apolipoprotein L6-like
100770990	LOC100770990	uncharacterized protein C1orf131 homolog pseudogene
100770991	Xkrx	XK related, X-linked
100770992	Pmch	pro-melanin concentrating hormone
100770993	Trim14	tripartite motif containing 14
100770994	Znf335	zinc finger protein 335
100770995	LOC100770995	7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase
100770996	LOC100770996	60S ribosomal protein L9 pseudogene
100770997	Chrm2	cholinergic receptor muscarinic 2
100770998	Epg5	ectopic P-granules autophagy protein 5 homolog
100770999	LOC100770999	taste receptor type 2 member 140-like
100771000	Amotl2	angiomotin like 2
100771001	LOC100771001	heterogeneous nuclear ribonucleoprotein F-like
100771002	Carmil3	capping protein regulator and myosin 1 linker 3
100771003	LOC100771003	nuclear receptor 2C2-associated protein pseudogene
100771004	Rcsd1	RCSD domain containing 1
100771005	Dot1l	DOT1 like histone lysine methyltransferase
100771006	Myh11	myosin heavy chain 11
100771007	Myl4	myosin light chain 4
100771008	LOC100771008	protein FAM216B
100771009	Alg11	ALG11, alpha-1,2-mannosyltransferase
100771010	Robo1	roundabout guidance receptor 1
100771012	Evl	Enah/Vasp-like
100771014	Fkbp10	FK506 binding protein 10
100771015	LOC100771015	olfactory receptor 4C46-like
100771016	Wdr62	WD repeat domain 62
100771017	LOC100771017	zinc finger protein with KRAB and SCAN domains 3-like
100771018	LOC100771018	carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
100771019	Pabpn1	poly(A) binding protein nuclear 1
100771020	Glyr1	glyoxylate reductase 1 homolog
100771021	Dohh	deoxyhypusine hydroxylase
100771022	Bgn	biglycan
100771023	Acbd5	acyl-CoA binding domain containing 5
100771024	LOC100771024	serine protease 44-like
100771025	Elac1	elaC ribonuclease Z 1
100771026	LOC100771026	T-cell receptor beta chain V region CTL-F3
100771027	Eef1akmt2	EEF1A lysine methyltransferase 2
100771028	Fam83f	family with sequence similarity 83 member F
100771029	Mum1l1	MUM1 like 1
100771030	Stk36	serine/threonine kinase 36
100771031	Sel1l2	SEL1L2 ERAD E3 ligase adaptor subunit
100771033	Zfyve28	zinc finger FYVE-type containing 28
100771034	Usp49	ubiquitin specific peptidase 49
100771035	Olr1	oxidized low density lipoprotein receptor 1
100771036	Cebpd	CCAAT/enhancer binding protein delta
100771037	LOC100771037	ATP-binding cassette sub-family A member 3-like
100771038	Ece2	endothelin converting enzyme 2
100771039	Ankrd37	ankyrin repeat domain 37
100771040	LOC100771040	cytochrome b-c1 complex subunit 7 pseudogene
100771041	Mphosph9	M-phase phosphoprotein 9
100771042	LOC100771042	WAP four-disulfide core domain protein 18-like
100771043	LOC100771043	SH3 domain-binding protein 5-like
100771044	LOC100771044	lysine-specific demethylase 2B pseudogene
100771045	Arel1	apoptosis resistant E3 ubiquitin protein ligase 1
100771047	Whamm	WAS protein homolog associated with actin, golgi membranes and microtubules
100771050	LOC100771050	vomeronasal type-1 receptor 4-like
100771051	Cxcl11	C-X-C motif chemokine ligand 11
100771052	LOC100771052	GRB2-associated-binding protein 2 pseudogene
100771053	Six4	SIX homeobox 4
100771054	LOC100771054	7,8-dihydro-8-oxoguanine triphosphatase pseudogene
100771055	Suz12	SUZ12 polycomb repressive complex 2 subunit
100771057	R3hcc1	R3H domain and coiled-coil containing 1
100771058	Micall2	MICAL like 2
100771059	LOC100771059	oligosaccharyltransferase complex subunit OSTC pseudogene
100771060	LOC100771060	ubiquitin-conjugating enzyme E2 variant 1 pseudogene
100771061	Fxyd2	FXYD domain containing ion transport regulator 2
100771062	Fam217b	family with sequence similarity 217 member B
100771063	Cep57l1	centrosomal protein 57 like 1
100771064	Dnmt3a	DNA methyltransferase 3 alpha
100771065	Rcc2	regulator of chromosome condensation 2
100771066	LOC100771066	cytochrome P450 2D10
100771068	Asah1	N-acylsphingosine amidohydrolase 1
100771069	Slc25a34	solute carrier family 25 member 34
100771070	Kyat3	kynurenine aminotransferase 3
100771072	Rpgrip1l	RPGRIP1 like
100771073	LOC100771073	5-hydroxyisourate hydrolase
100771074	Pomk	protein-O-mannose kinase
100771076	Fam168b	family with sequence similarity 168 member B
100771077	Ptpn11	protein tyrosine phosphatase, non-receptor type 11
100771078	LOC100771078	GTPase KRas pseudogene
100771079	LOC100771079	60S ribosomal protein L21 pseudogene
100771080	LOC100771080	nuclear export mediator factor Nemf
100771081	Crip2	cysteine rich protein 2
100771082	Rab33a	RAB33A, member RAS oncogene family
100771083	LOC100771083	transmembrane protein 221
100771084	Tmem239	transmembrane protein 239
100771085	LOC100771085	claudin-22
100771086	Snrpa1	small nuclear ribonucleoprotein polypeptide A'
100771087	Msh6	mutS homolog 6
100771088	Carm1	coactivator associated arginine methyltransferase 1
100771089	LOC100771089	olfactory receptor 10X1
100771090	Zcchc12	zinc finger CCHC-type containing 12
100771091	Tle1	transducin like enhancer of split 1
100771092	Tagln2	transgelin 2
100771093	Gdap2	ganglioside induced differentiation associated protein 2
100771094	Ankh	ANKH inorganic pyrophosphate transport regulator
100771096	LOC100771096	ubiquitin-fold modifier-conjugating enzyme 1 pseudogene
100771097	S100a5	S100 calcium binding protein A5
100771098	Safb	scaffold attachment factor B
100771099	Psmc5	proteasome 26S subunit, ATPase 5
100771100	Cplx1	complexin 1
100771101	LOC100771101	fas apoptotic inhibitory molecule 1-like
100771102	LOC100771102	putative olfactory receptor 2B3
100771103	Tmem242	transmembrane protein 242
100771104	LOC100771104	arylacetamide deacetylase-like 2
100771105	LOC100771105	uncharacterized LOC100771105
100771106	Plpp1	phospholipid phosphatase 1
100771107	Nutm1	NUT midline carcinoma family member 1
100771108	Kdm3a	lysine demethylase 3A
100771109	LOC100771109	glyceraldehyde-3-phosphate dehydrogenase pseudogene
100771110	LOC100771110	ribosomal protein S6 kinase beta-1 pseudogene
100771111	LOC100771111	non-histone chromosomal protein HMG-17 pseudogene
100771112	LOC100771112	cold shock domain-containing protein E1 pseudogene
100771113	Rasgef1a	RasGEF domain family member 1A
100771114	LOC100771114	ATP synthase F(0) complex subunit C1, mitochondrial
100771116	Casp14	caspase 14
100771117	LOC100771117	60S ribosomal protein L7
100771119	LOC100771119	nucleophosmin pseudogene
100771121	LOC100771121	vomeronasal type-2 receptor 116-like
100771122	Dnajc14	DnaJ heat shock protein family (Hsp40) member C14
100771123	Cenph	centromere protein H
100771124	LOC100771124	histone-binding protein RBBP4 pseudogene
100771125	Fcrla	Fc receptor like A
100771126	LOC100771126	E3 ubiquitin-protein ligase RNF216 pseudogene
100771127	Ift122	intraflagellar transport 122
100771128	LOC100771128	HLA class I histocompatibility antigen, B-52 alpha chain-like
100771129	LOC100771129	glyceraldehyde-3-phosphate dehydrogenase pseudogene
100771130	Pcsk2	proprotein convertase subtilisin/kexin type 2
100771131	LOC100771131	N-acetyltransferase 8-like
100771132	Fam46b	family with sequence similarity 46 member B
100771133	LOC100771133	dual specificity protein phosphatase CDC14B pseudogene
100771134	Ly6g6f	lymphocyte antigen 6 family member G6F
100771135	Trpv1	transient receptor potential cation channel subfamily V member 1
100771136	Asb1	ankyrin repeat and SOCS box containing 1
100771138	LOC100771138	mucin-3A-like
100771139	Mrpl20	mitochondrial ribosomal protein L20
100771140	C3ar1	complement C3a receptor 1
100771141	Zufsp	zinc finger with UFM1 specific peptidase domain
100771142	LOC100771142	NXPE family member 3
100771143	Gpr84	G protein-coupled receptor 84
100771144	Slc8b1	solute carrier family 8 member B1
100771146	Prr9	proline rich 9
100771147	Med22	mediator complex subunit 22
100771148	Pcdhb1	protocadherin beta 1
100771149	Morn5	MORN repeat containing 5
100771150	LOC100771150	palmitoyltransferase ZDHHC3
100771151	Grk5	G protein-coupled receptor kinase 5
100771152	LOC100771152	olfactory receptor 6C6
100771153	Cgnl1	cingulin like 1
100771155	Lrrc18	leucine rich repeat containing 18
100771156	Crym	crystallin mu
100771157	LOC100771157	zinc finger protein ZPR1 pseudogene
100771158	Pnrc1	proline-rich nuclear receptor coactivator 1
100771159	Ostn	osteocrin
100771160	Epas1	endothelial PAS domain protein 1
100771161	LOC100771161	ubiquitin carboxyl-terminal hydrolase 34
100771162	Cir1	corepressor interacting with RBPJ, 1
100771163	LOC100771163	olfactory receptor 52E8
100771164	LOC100771164	GTP-binding nuclear protein Ran
100771165	Cfap61	cilia and flagella associated protein 61
100771166	Zscan2	zinc finger and SCAN domain containing 2
100771167	Cenpe	centromere protein E
100771168	LOC100771168	olfactory receptor 150
100771169	Eno3	enolase 3
100771170	LOC100771170	chromosome unknown open reading frame, human C16orf58
100771171	Faah	fatty acid amide hydrolase
100771172	Vwa2	von Willebrand factor A domain containing 2
100771173	Nmi	N-myc and STAT interactor
100771174	LOC100771174	40S ribosomal protein S15a pseudogene
100771175	Clstn1	calsyntenin 1
100771176	LOC100771176	Ig lambda chain V-VI region AR-like
100771177	Ehd4	EH domain containing 4
100771178	Sesn2	sestrin 2
100771179	Psmb4	proteasome subunit beta 4
100771181	Pik3r2	phosphoinositide-3-kinase regulatory subunit 2
100771182	LOC100771182	eukaryotic translation initiation factor 2 subunit 3, X-linked pseudogene
100771183	Zwint	ZW10 interacting kinetochore protein
100771184	Sfrp2	secreted frizzled related protein 2
100771185	Ddx21	DExD-box helicase 21
100771186	LOC100771186	cystatin-S
100771188	Gpx1	glutathione peroxidase 1
100771189	Dapl1	death associated protein like 1
100771190	Eif3e	eukaryotic translation initiation factor 3 subunit E
100771191	Zc3h14	zinc finger CCCH-type containing 14
100771192	Rhbdl1	rhomboid like 1
100771193	Scin	scinderin
100771194	Zdhhc8	zinc finger DHHC-type containing 8
100771195	Adck2	aarF domain containing kinase 2
100771196	Iapp	islet amyloid polypeptide
100771198	LOC100771198	interferon lambda-3-like
100771199	Mbnl1	muscleblind like splicing regulator 1
100771200	LOC100771200	general transcription factor II-I repeat domain-containing protein 2
100771201	Bloc1s6	biogenesis of lysosomal organelles complex 1 subunit 6
100771202	LOC100771202	sodium-dependent glucose transporter 1C
100771203	Rpp25l	ribonuclease P/MRP subunit p25 like
100771204	LOC100771204	succinyl-CoA:3-ketoacid coenzyme A transferase 2A, mitochondrial
100771205	Rab4b	RAB4B, member RAS oncogene family
100771206	Znf697	zinc finger protein 697
100771207	LOC100771207	olfactory receptor 4C15-like
100771208	LOC100771208	60S ribosome subunit biogenesis protein NIP7 homolog
100771209	LOC100771209	olfactory receptor 8K3
100771210	LOC100771210	PRELI domain containing protein 3B pseudogene
100771211	LOC100771211	protein Red-like
100771212	Dnaaf5	dynein axonemal assembly factor 5
100771213	Hoxc11	homeobox C11
100771214	LOC100771214	peroxisomal membrane protein 11C
100771216	Pcbp1	poly(rC) binding protein 1
100771218	Psg9	pregnancy specific beta-1-glycoprotein 9
100771219	LOC100771219	chromosome unknown open reading frame, human C12orf45
100771220	Hrc	histidine rich calcium binding protein
100771221	Mefv	MEFV, pyrin innate immunity regulator
100771222	LOC100771222	protein NPAT
100771223	Fitm2	fat storage inducing transmembrane protein 2
100771224	LOC100771224	coiled-coil domain-containing protein 71-like
100771225	Gdpd2	glycerophosphodiester phosphodiesterase domain containing 2
100771226	Mob1a	MOB kinase activator 1A
100771227	LOC100771227	taste receptor type 2 member 114-like
100771228	LOC100771228	pre-mRNA-splicing factor 38A pseudogene
100771229	Mccc1	methylcrotonoyl-CoA carboxylase 1
100771230	Dcaf12	DDB1 and CUL4 associated factor 12
100771231	Tbc1d30	TBC1 domain family member 30
100771232	Nmu	neuromedin U
100771233	Nmnat1	nicotinamide nucleotide adenylyltransferase 1
100771234	LOC100771234	carcinoembryonic antigen-related cell adhesion molecule 3-like
100771235	Znf511	zinc finger protein 511
100771237	LOC100771237	olfactory receptor 51I2
100771238	Usp40	ubiquitin specific peptidase 40
100771239	Capn2	calpain 2
100771240	LOC100771240	speckle-type POZ protein pseudogene
100771241	Gse1	Gse1 coiled-coil protein
100771242	LOC100771242	uncharacterized LOC100771242
100771243	Chst13	carbohydrate sulfotransferase 13
100771245	Syt7	synaptotagmin 7
100771246	Sdhb	succinate dehydrogenase complex iron sulfur subunit B
100771247	LOC100771247	olfactory receptor 4C46-like
100771248	Kremen2	kringle containing transmembrane protein 2
100771249	LOC100771249	E3 ubiquitin/ISG15 ligase TRIM25
100771250	Parp11	poly(ADP-ribose) polymerase family member 11
100771251	LOC100771251	torsin-1B
100771252	Proser2	proline and serine rich 2
100771253	Jakmip1	janus kinase and microtubule interacting protein 1
100771254	Sh3bp4	SH3 domain binding protein 4
100771255	Slc35f3	solute carrier family 35 member F3
100771256	Gbgt1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)
100771257	Rfng	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
100771258	LOC100771258	nascent polypeptide-associated complex subunit alpha pseudogene
100771259	Helb	DNA helicase B
100771261	Qser1	glutamine and serine rich 1
100771262	LOC100771262	Ig heavy chain V-III region 23-like
100771263	LOC100771263	60S ribosomal protein L28 pseudogene
100771264	LOC100771264	germ cell-less protein-like 1
100771265	Tlr9	toll like receptor 9
100771266	Acmsd	aminocarboxymuconate semialdehyde decarboxylase
100771267	Slc9c1	solute carrier family 9 member C1
100771269	Pfn3	profilin 3
100771270	Txn2	thioredoxin 2
100771272	Ppp2r1b	protein phosphatase 2 scaffold subunit Abeta
100771273	LOC100771273	leukocyte immunoglobulin-like receptor subfamily B member 3
100771275	Mgat5b	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B
100771277	LOC100771277	bone sialoprotein 2 pseudogene
100771278	Agxt	alanine-glyoxylate aminotransferase
100771279	Tmem35a	transmembrane protein 35A
100771280	Nup37	nucleoporin 37
100771281	Tbc1d2	TBC1 domain family member 2
100771282	Hhatl	hedgehog acyltransferase like
100771283	Hhip	hedgehog interacting protein
100771284	Slc13a4	solute carrier family 13 member 4
100771285	LOC100771285	60S ribosomal protein L36 pseudogene
100771286	LOC100771286	taste receptor type 2 member 140-like
100771287	Chfr	checkpoint with forkhead and ring finger domains
100771288	Ryk	receptor-like tyrosine kinase
100771289	LOC100771289	40S ribosomal protein S17 pseudogene
100771290	LOC100771290	dehydrogenase/reductase SDR family member 4
100771291	Cd247	CD247 molecule
100771292	Sf3a2	splicing factor 3a subunit 2
100771293	Nde1	nudE neurodevelopment protein 1
100771294	Tlk2	tousled like kinase 2
100771295	Rgcc	regulator of cell cycle
100771296	LOC100771296	proteolipid protein 2-like
100771297	Znf436	zinc finger protein 436
100771298	Degs2	delta 4-desaturase, sphingolipid 2
100771299	Nbr1	NBR1, autophagy cargo receptor
100771300	Numb	NUMB, endocytic adaptor protein
100771301	LOC100771301	olfactory receptor 4C6-like
100771302	Thap8	THAP domain containing 8
100771303	Nkapl	NFKB activating protein like
100771304	Chst11	carbohydrate sulfotransferase 11
100771305	Rrp36	ribosomal RNA processing 36
100771306	Slc22a17	solute carrier family 22 member 17
100771307	Mfsd12	major facilitator superfamily domain containing 12
100771308	Trex2	three prime repair exonuclease 2
100771310	Prss45	protease, serine 45
100771311	Me2	malic enzyme 2
100771312	Fam53b	family with sequence similarity 53 member B
100771313	Tnrc6b	trinucleotide repeat containing 6B
100771314	LOC100771314	zinc finger CCCH domain-containing protein 14 pseudogene
100771315	Rnf25	ring finger protein 25
100771316	Flrt3	fibronectin leucine rich transmembrane protein 3
100771317	Dhx36	DEAH-box helicase 36
100771318	Mxd4	MAX dimerization protein 4
100771319	LOC100771319	mediator of RNA polymerase II transcription subunit 20
100771320	Gabarapl1	GABA type A receptor associated protein like 1
100771321	Spidr	scaffolding protein involved in DNA repair
100771322	Ntn3	netrin 3
100771324	Wdr59	WD repeat domain 59
100771325	Ccdc110	coiled-coil domain containing 110
100771326	St3gal6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
100771327	Nr1d1	nuclear receptor subfamily 1 group D member 1
100771328	LOC100771328	protein Wfdc21
100771329	LOC100771329	ATP synthase F(0) complex subunit C2, mitochondrial pseudogene
100771330	Lypd8	LY6/PLAUR domain containing 8
100771331	Fcf1	FCF1, rRNA-processing protein
100771332	Homer2	homer scaffolding protein 2
100771333	Nars2	asparaginyl-tRNA synthetase 2, mitochondrial
100771334	LOC100771334	olfactory receptor 143-like
100771335	LOC100771335	vomeronasal type-1 receptor 4-like
100771336	Art3	ADP-ribosyltransferase 3
100771337	LOC100771337	PRAME family member 12-like
100771338	Rorb	RAR related orphan receptor B
100771339	LOC100771339	cyclin-dependent kinases regulatory subunit 2 pseudogene
100771340	Ldlrad1	low density lipoprotein receptor class A domain containing 1
100771341	Crlf3	cytokine receptor like factor 3
100771342	LOC100771342	uncharacterized LOC100771342
100771343	Loxl2	lysyl oxidase like 2
100771344	Uncx	UNC homeobox
100771345	Hebp2	heme binding protein 2
100771346	Mkl2	MKL1/myocardin like 2
100771347	Tmprss13	transmembrane protease, serine 13
100771348	Ppp1r3d	protein phosphatase 1 regulatory subunit 3D
100771349	Garem2	GRB2 associated regulator of MAPK1 subtype 2
100771350	Uap1l1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1
100771351	Snu13	small nuclear ribonucleoprotein 13
100771353	LOC100771353	Ig heavy chain V-I region 5-like
100771354	Pcm1	pericentriolar material 1
100771355	Tmem82	transmembrane protein 82
100771356	LOC100771356	60S acidic ribosomal protein P1
100771357	Kiaa1456	KIAA1456 ortholog
100771358	LOC100771358	alcohol dehydrogenase class-3 pseudogene
100771359	Ash2l	ASH2 like histone lysine methyltransferase complex subunit
100771360	LOC100771360	ribosomal RNA-processing protein 7 homolog A pseudogene
100771361	Cnga3	cyclic nucleotide gated channel alpha 3
100771362	Hectd4	HECT domain E3 ubiquitin protein ligase 4
100771364	Ralyl	RALY RNA binding protein like
100771366	Dync1h1	dynein cytoplasmic 1 heavy chain 1
100771367	Aifm1	apoptosis inducing factor mitochondria associated 1
100771369	Cpxm1	carboxypeptidase X, M14 family member 1
100771371	Pcsk6	proprotein convertase subtilisin/kexin type 6
100771372	Fbxo11	F-box protein 11
100771373	Dnm2	dynamin 2
100771374	Spta1	spectrin alpha, erythrocytic 1
100771375	Il13ra1	interleukin 13 receptor subunit alpha 1
100771376	Rasef	RAS and EF-hand domain containing
100771377	Vsig8	V-set and immunoglobulin domain containing 8
100771378	Atp1a1	ATPase Na+/K+ transporting subunit alpha 1
100771379	LOC100771379	dnaJ homolog subfamily B member 6-like
100771380	Dazl	deleted in azoospermia like
100771382	LOC100771382	amiloride-sensitive amine oxidase [copper-containing]
100771383	LOC100771383	uncharacterized LOC100771383
100771384	S100a6	S100 calcium binding protein A6
100771385	Lonp1	lon peptidase 1, mitochondrial
100771386	Ddx42	DEAD-box helicase 42
100771387	Dgkq	diacylglycerol kinase theta
100771388	Esyt3	extended synaptotagmin 3
100771389	LOC100771389	olfactory receptor 2A12
100771390	LOC100771390	iron-sulfur cluster assembly 1 homolog, mitochondrial
100771391	LOC100771391	arylacetamide deacetylase-like 2
100771392	Kiaa1549	KIAA1549 ortholog
100771393	LOC100771393	peptidyl-prolyl cis-trans isomerase A-like
100771394	Nop10	NOP10 ribonucleoprotein
100771395	Ccdc129	coiled-coil domain containing 129
100771396	Skp2	S-phase kinase associated protein 2
100771397	LOC100771397	60S ribosomal protein L22 pseudogene
100771398	Ywhah	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
100771399	LOC100771399	ras-related GTP-binding protein C pseudogene
100771400	Hnrnpf	heterogeneous nuclear ribonucleoprotein F
100771401	Mars2	methionyl-tRNA synthetase 2, mitochondrial
100771402	LOC100771402	olfactory receptor 50
100771403	Brd4	bromodomain containing 4
100771404	LOC100771404	FUN14 domain-containing protein 2
100771406	Susd1	sushi domain containing 1
100771407	Nadsyn1	NAD synthetase 1
100771408	LOC100771408	olfactory receptor 7A17-like
100771409	LOC100771409	glyceraldehyde-3-phosphate dehydrogenase pseudogene
100771410	Rras2	RAS related 2
100771411	Tmx3	thioredoxin related transmembrane protein 3
100771412	Tmcc1	transmembrane and coiled-coil domain family 1
100771413	Ppp1r11	protein phosphatase 1 regulatory inhibitor subunit 11
100771415	Otor	otoraplin
100771416	LOC100771416	N-acetyltransferase 8
100771417	Nudc	nuclear distribution C, dynein complex regulator
100771418	LOC100771418	integrator complex subunit 7-like
100771419	Abhd16a	abhydrolase domain containing 16A
100771420	Shpk	sedoheptulokinase
100771421	Traf3ip1	TRAF3 interacting protein 1
100771423	Catsper4	cation channel sperm associated 4
100771424	Tmem88b	transmembrane protein 88B
100771425	Ppp4c	protein phosphatase 4 catalytic subunit
100771426	LOC100771426	C-type lectin domain family 4 member A-like
100771427	Kpna5	karyopherin subunit alpha 5
100771428	LOC100771428	chromosome unknown open reading frame, human C7orf43
100771429	LOC100771429	60 kDa heat shock protein, mitochondrial pseudogene
100771430	LOC100771430	GRB2-associated-binding protein 2-like
100771431	Iqcd	IQ motif containing D
100771432	LOC100771432	olfactory receptor 7G2-like
100771433	Sgk1	serum/glucocorticoid regulated kinase 1
100771434	LOC100771434	peptidoglycan recognition protein 3
100771435	Surf6	surfeit 6
100771436	LOC100771436	protocadherin beta-2-like
100771437	Epgn	epithelial mitogen
100771438	Klf9	Kruppel like factor 9
100771439	LOC100771439	L-lactate dehydrogenase A chain pseudogene
100771440	LOC100771440	olfactory receptor 6C6
100771441	Polr2m	RNA polymerase II subunit M
100771442	LOC100771442	melanoma-associated antigen B5
100771443	Arhgap22	Rho GTPase activating protein 22
100771444	Zp2	zona pellucida glycoprotein 2
100771445	LOC100771445	protein phosphatase inhibitor 2
100771446	Pm20d2	peptidase M20 domain containing 2
100771447	Il1rap	interleukin 1 receptor accessory protein
100771448	Kynu	kynureninase
100771449	Ntmt1	N-terminal Xaa-Pro-Lys N-methyltransferase 1
100771450	Tiam2	T-cell lymphoma invasion and metastasis 2
100771451	Nostrin	nitric oxide synthase trafficking
100771452	LOC100771452	olfactory receptor 52E5
100771453	Sssca1	Sjogren syndrome/scleroderma autoantigen 1
100771455	Crnkl1	crooked neck pre-mRNA splicing factor 1
100771456	Wdr73	WD repeat domain 73
100771457	Vps33b	VPS33B, late endosome and lysosome associated
100771458	LOC100771458	synaptonemal complex protein 3-like
100771459	Sorcs3	sortilin related VPS10 domain containing receptor 3
100771460	LOC100771460	40S ribosomal protein S15 pseudogene
100771461	LOC100771461	cytochrome b-c1 complex subunit 6, mitochondrial
100771462	Afap1l2	actin filament associated protein 1 like 2
100771465	Npnt	nephronectin
100771466	LOC100771466	Ig lambda chain V-VI region WLT-like
100771467	Sptbn5	spectrin beta, non-erythrocytic 5
100771468	Atpif1	ATPase inhibitory factor 1
100771469	Pkd2	polycystin 2, transient receptor potential cation channel
100771470	Pogz	pogo transposable element derived with ZNF domain
100771471	LOC100771471	leukocyte immunoglobulin-like receptor subfamily B member 3
100771474	LOC100771474	60S ribosomal protein L39-like
100771475	Tlr2	toll like receptor 2
100771476	Stox1	storkhead box 1
100771477	LOC100771477	cystatin-9-like
100771478	Usp4	ubiquitin specific peptidase 4
100771480	Pcif1	PDX1 C-terminal inhibiting factor 1
100771482	Eml5	echinoderm microtubule associated protein like 5
100771483	Jmjd8	jumonji domain containing 8
100771484	Arl4a	ADP ribosylation factor like GTPase 4A
100771485	Rtn4r	reticulon 4 receptor
100771486	Braf	B-Raf proto-oncogene, serine/threonine kinase
100771487	LOC100771487	solute carrier organic anion transporter family member 1A5-like
100771488	Nek3	NIMA related kinase 3
100771490	LOC100771490	interferon lambda-2-like
100771492	LOC100771492	sodium-dependent glucose transporter 1B-like
100771493	Enho	energy homeostasis associated
100771494	LOC100771494	bone morphogenetic protein 8A
100771495	Egln2	egl-9 family hypoxia inducible factor 2
100771496	Adam30	ADAM metallopeptidase domain 30
100771497	LOC100771497	non-histone chromosomal protein HMG-14 pseudogene
100771498	LOC100771498	L-lactate dehydrogenase A chain pseudogene
